freq,s11
4.00000000E+08,-8.65714185E+00	
4.05263158E+08,-1.04249354E+01	
4.10526316E+08,-1.26536022E+01	
4.15789474E+08,-1.55104913E+01	
4.21052632E+08,-1.93830484E+01	
4.26315789E+08,-2.53742150E+01	
4.31578947E+08,-3.43891169E+01	
4.36842105E+08,-2.65282309E+01	
4.42105263E+08,-2.14603122E+01	
4.47368421E+08,-1.84886300E+01	
4.52631579E+08,-1.64565779E+01	
4.57894737E+08,-1.49416352E+01	
4.63157895E+08,-1.37480756E+01	
4.68421053E+08,-1.27718620E+01	
4.73684211E+08,-1.19526162E+01	
4.78947368E+08,-1.12521736E+01	
4.84210526E+08,-1.06451663E+01	
4.89473684E+08,-1.01155568E+01	
4.94736842E+08,-9.65210263E+00	
5.00000000E+08,-9.24689257E+00